GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10,cgp,wins,losses,winpercent,cgp_away,wins_away,losses_away,winpercen_away,hometeam-homewins,hometeam-awaywins,awayteam-homewins,awayteam-awaywins,avgpointtotal_home,avgpointtotal_away,meanpointtotal
2017-01-02,1610612739,1610612740,2016,90.0,82.0,172.0,101.9,101.55,100.45,104.8,32,25,7,0.7809999999999999,35,14,21,0.4,17,8,10,4,210.4,210.18,210.29000000000002
2017-01-02,1610612751,1610612762,2016,89.0,101.0,190.0,96.7,98.4,95.55,106.55,32,8,24,0.25,34,21,13,0.618,7,1,12,9,217.78,192.01999999999998,204.89999999999998
2017-01-02,1610612752,1610612753,2016,103.0,115.0,218.0,101.2,97.2,96.55,103.5,33,16,17,0.485,35,15,20,0.429,11,5,7,8,210.16,204.5,207.32999999999998
2017-01-02,1610612741,1610612766,2016,118.0,111.0,229.0,94.0,91.0,99.45,97.7,34,16,18,0.471,34,19,15,0.5589999999999999,10,6,11,8,202.6,202.96,202.78
2017-01-02,1610612745,1610612764,2016,101.0,91.0,192.0,112.7,109.85,94.7,91.35,35,26,9,0.743,32,16,16,0.5,13,13,13,3,220.9,211.14,216.01999999999998
2017-01-02,1610612746,1610612756,2016,109.0,98.0,207.0,109.85,106.5,106.25,103.85,36,22,14,0.611,34,10,24,0.294,11,11,6,4,206.44,215.68,211.06
2017-01-02,1610612744,1610612743,2016,127.0,119.0,246.0,107.5,105.85,109.2,110.3,34,29,5,0.853,33,14,19,0.424,14,15,7,7,216.82,213.66,215.24
2017-01-01,1610612737,1610612759,2016,114.0,112.0,226.0,96.35,95.7,107.75,96.55,33,17,16,0.515,33,27,6,0.818,9,8,11,16,202.8,199.7,201.25
2017-01-01,1610612748,1610612765,2016,98.0,107.0,205.0,97.25,95.5,100.85,105.95,34,10,24,0.294,35,15,20,0.429,5,5,9,6,199.2,196.46,197.82999999999998
2017-01-01,1610612754,1610612753,2016,117.0,104.0,221.0,92.05,92.25,96.55,103.5,34,16,18,0.471,34,15,19,0.441,12,4,7,8,207.46,204.48,205.97
2017-01-01,1610612750,1610612757,2016,89.0,95.0,184.0,110.05,111.2,104.75,105.45,33,11,22,0.333,35,14,21,0.4,6,5,9,5,209.12,216.72,212.92000000000002
2017-01-01,1610612747,1610612761,2016,114.0,123.0,237.0,107.3,114.65,100.6,99.2,36,12,24,0.333,32,22,10,0.688,7,5,11,11,212.62,207.72,210.17000000000002
2016-12-31,1610612758,1610612763,2016,98.0,112.0,210.0,97.75,101.5,98.25,97.5,32,14,18,0.438,35,21,14,0.6,7,7,13,8,208.86,198.07999999999998,203.47
2016-12-31,1610612741,1610612749,2016,96.0,116.0,212.0,94.0,91.0,99.8,108.15,33,16,17,0.485,31,15,16,0.484,10,6,10,5,202.39999999999998,203.95999999999998,203.17999999999998
2016-12-31,1610612766,1610612739,2016,109.0,121.0,230.0,99.45,97.7,101.9,101.55,33,19,14,0.5760000000000001,31,24,7,0.774,11,8,17,7,202.60000000000002,209.64,206.12
2016-12-31,1610612745,1610612752,2016,129.0,122.0,251.0,112.7,109.85,101.2,97.2,34,25,9,0.735,32,16,16,0.5,12,13,11,5,219.94,208.89999999999998,214.42
2016-12-31,1610612762,1610612756,2016,91.0,86.0,177.0,95.55,106.55,106.25,103.85,33,20,13,0.606,33,10,23,0.303,11,9,6,4,192.14,216.12,204.13
2016-12-31,1610612760,1610612746,2016,114.0,88.0,202.0,101.8,103.4,109.85,106.5,33,20,13,0.606,35,22,13,0.629,12,8,11,11,211.0,206.78,208.89
2016-12-30,1610612754,1610612741,2016,111.0,101.0,212.0,92.05,92.25,94.0,91.0,33,15,18,0.455,32,16,16,0.5,11,4,10,6,207.38,202.16,204.76999999999998
2016-12-30,1610612764,1610612751,2016,118.0,95.0,213.0,94.7,91.35,96.7,98.4,31,15,16,0.484,31,8,23,0.258,12,3,7,1,212.10000000000002,218.4,215.25
2016-12-30,1610612738,1610612748,2016,117.0,114.0,231.0,99.65,105.5,97.25,95.5,33,19,14,0.5760000000000001,33,10,23,0.303,7,12,5,5,207.22,198.06,202.64
2016-12-30,1610612740,1610612752,2016,104.0,92.0,196.0,100.45,104.8,101.2,97.2,34,13,21,0.382,31,16,15,0.516,9,4,11,5,210.5,209.1,209.8
2016-12-30,1610612745,1610612746,2016,140.0,116.0,256.0,112.7,109.85,109.85,106.5,33,24,9,0.727,34,22,12,0.647,11,13,11,11,219.24,205.68,212.46
2016-12-30,1610612750,1610612749,2016,116.0,99.0,215.0,110.05,111.2,99.8,108.15,32,10,22,0.313,30,15,15,0.5,5,5,10,5,208.36,204.04000000000002,206.20000000000002
2016-12-30,1610612737,1610612765,2016,105.0,98.0,203.0,96.35,95.7,100.85,105.95,32,16,16,0.5,34,15,19,0.441,8,8,9,6,202.38,196.32,199.35
2016-12-30,1610612759,1610612757,2016,110.0,94.0,204.0,107.75,96.55,104.75,105.45,32,26,6,0.813,34,14,20,0.412,10,16,9,5,199.56,217.12,208.34
2016-12-30,1610612743,1610612755,2016,122.0,124.0,246.0,109.2,110.3,97.85,106.0,32,14,18,0.438,31,7,24,0.226,7,7,5,2,213.01999999999998,205.39999999999998,209.20999999999998
2016-12-30,1610612744,1610612742,2016,108.0,99.0,207.0,107.5,105.85,104.45,102.7,33,28,5,0.848,33,10,23,0.303,13,15,6,4,216.86,196.84,206.85000000000002
2016-12-29,1610612766,1610612748,2016,91.0,82.0,173.0,99.45,97.7,97.25,95.5,32,18,14,0.563,32,10,22,0.313,10,8,5,5,202.96,198.12,200.54000000000002
2016-12-29,1610612763,1610612760,2016,114.0,80.0,194.0,98.25,97.5,101.8,103.4,34,20,14,0.588,32,20,12,0.625,12,8,12,8,198.18,211.12,204.65
2016-12-29,1610612739,1610612738,2016,124.0,118.0,242.0,101.9,101.55,99.65,105.5,30,23,7,0.767,32,19,13,0.594,16,7,7,12,209.0,205.60000000000002,207.3
2016-12-29,1610612762,1610612755,2016,100.0,83.0,183.0,95.55,106.55,97.85,106.0,32,19,13,0.594,30,7,23,0.233,10,9,5,2,192.45999999999998,206.22,199.33999999999997
2016-12-29,1610612756,1610612761,2016,99.0,91.0,190.0,106.25,103.85,100.6,99.2,32,9,23,0.281,31,22,9,0.71,5,4,11,11,216.54000000000002,207.64,212.09
2016-12-29,1610612747,1610612742,2016,89.0,101.0,190.0,107.3,114.65,104.45,102.7,35,12,23,0.343,32,9,23,0.281,7,5,6,3,212.26,196.9,204.57999999999998
2016-12-28,1610612764,1610612754,2016,111.0,105.0,216.0,94.7,91.35,92.05,92.25,30,14,16,0.467,32,15,17,0.469,11,3,11,4,212.24,206.84,209.54000000000002
2016-12-28,1610612753,1610612766,2016,101.0,120.0,221.0,96.55,103.5,99.45,97.7,33,15,18,0.455,31,17,14,0.5479999999999999,7,8,10,7,204.57999999999998,202.76,203.67
